,run 1,run 2,run 3,run 4,run 5,run 6,run 7,run 8,run 9,run 10
max_leaf_nodes = 1000,7.1735,7.2593,7.1853,7.1787,7.1975,7.2308,7.2409,7.2011,7.1653,7.2109
max_leaf_nodes = 2000,7.1993,7.2095,7.1403,7.1712,7.1588,7.1892,7.2062,7.1502,7.1457,7.2038
max_leaf_nodes = 3000,7.1171,7.1286,7.15,7.1546,7.1741,7.1831,7.1505,7.2003,7.2352,7.1444
max_leaf_nodes = 4000,7.1293,7.1645,7.1105,7.1754,7.1497,7.1686,7.2081,7.1251,7.1413,7.1862
max_leaf_nodes = 5000,7.1676,7.1187,7.1096,7.1061,7.135,7.1267,7.0614,7.1632,7.1382,7.1188
max_leaf_nodes = 6000,7.1517,7.1347,7.166,7.1362,7.1263,7.13,7.1421,7.1239,7.1554,7.2235
max_leaf_nodes = 7000,7.1342,7.0606,7.1206,7.1107,7.1498,7.1167,7.1093,7.1154,7.0468,7.134
max_leaf_nodes = 8000,7.1287,7.0671,7.2012,7.1532,7.1367,7.1345,7.0979,7.1244,7.1404,7.1353
max_leaf_nodes = 9000,7.144,7.1045,7.1345,7.1208,7.1698,7.1105,7.2025,7.1358,7.1661,7.1084
max_leaf_nodes = 10000,7.1697,7.1046,7.1081,7.1285,7.162,7.1258,7.1376,7.0937,7.107,7.165
max_leaf_nodes = 11000,7.0749,7.115,7.1248,7.1341,7.0141,7.0789,7.1049,7.132,7.0544,7.1076
max_leaf_nodes = 12000,7.0725,7.1121,7.1086,7.1207,7.1873,7.1293,7.1204,7.1461,7.1288,7.0813
max_leaf_nodes = 13000,7.1324,7.145,7.112,7.1864,7.105,7.1324,7.1243,7.0889,7.1124,7.1324
max_leaf_nodes = 14000,7.1163,7.1228,7.1388,7.1147,7.0564,7.0886,7.1227,7.0938,7.1007,7.1195
max_leaf_nodes = 15000,7.2309,7.1358,7.0314,7.1097,7.0719,7.0746,7.0888,7.1275,7.1462,7.1347
max_leaf_nodes = 16000,7.1006,7.0858,7.1268,7.1201,7.1279,7.1353,7.1891,7.1662,7.1485,7.1072
max_leaf_nodes = 17000,7.0685,7.1446,7.1726,7.1376,7.1327,7.1793,7.0974,7.1044,7.1615,7.0945
max_leaf_nodes = 18000,7.1959,7.1652,7.0785,7.0928,7.1336,7.1357,7.1086,7.1094,7.1438,7.1783
max_leaf_nodes = 19000,7.1434,7.1362,7.1096,7.1346,7.1088,7.143,7.0905,7.1812,7.1678,7.1746
max_leaf_nodes = 20000,7.1486,7.1533,7.165,7.0844,7.1902,7.105,7.126,7.1647,7.0882,7.14
max_leaf_nodes = 21000,7.1015,7.2104,7.1732,7.1667,7.1782,7.1368,7.142,7.1861,7.151,7.1946
max_leaf_nodes = 22000,7.1781,7.1323,7.2171,7.1593,7.1672,7.1192,7.1831,7.0902,7.1465,7.1857
max_leaf_nodes = 23000,7.1897,7.132,7.1639,7.2235,7.1647,7.1427,7.1194,7.1824,7.1957,7.1894
max_leaf_nodes = 24000,7.1109,7.2314,7.1567,7.2067,7.1425,7.1244,7.1691,7.1834,7.1656,7.2011
max_leaf_nodes = 25000,7.1571,7.2257,7.1404,7.1483,7.1731,7.1301,7.203,7.1823,7.1545,7.1234
max_leaf_nodes = 26000,7.1479,7.1949,7.1772,7.1618,7.1721,7.0908,7.1752,7.2201,7.1662,7.2359
max_leaf_nodes = 27000,7.1822,7.1792,7.2227,7.1724,7.1925,7.1741,7.2285,7.2312,7.142,7.169
max_leaf_nodes = 28000,7.169,7.1989,7.1429,7.1523,7.2326,7.1804,7.162,7.1706,7.1636,7.2192
max_leaf_nodes = 29000,7.1885,7.1819,7.1828,7.1256,7.2017,7.2448,7.2362,7.1521,7.217,7.2152
max_leaf_nodes = 30000,7.2246,7.2004,7.2149,7.1731,7.2272,7.1678,7.1786,7.1773,7.2085,7.22
max_leaf_nodes = 31000,7.2244,7.2244,7.214,7.2329,7.2749,7.1778,7.121,7.2274,7.2123,7.1683
max_leaf_nodes = 32000,7.2163,7.2482,7.2122,7.1864,7.2177,7.2269,7.1905,7.1992,7.1989,7.1623
max_leaf_nodes = 33000,7.1482,7.1697,7.1556,7.2337,7.2233,7.2399,7.2106,7.1961,7.1865,7.2064
max_leaf_nodes = 34000,7.2026,7.2379,7.2357,7.2043,7.1651,7.2102,7.2264,7.2213,7.2681,7.2645
max_leaf_nodes = 35000,7.2122,7.234,7.1765,7.2385,7.2316,7.3194,7.244,7.2418,7.2042,7.2092
max_leaf_nodes = 36000,7.2659,7.2235,7.1985,7.2317,7.2353,7.195,7.2598,7.2175,7.2042,7.2134
max_leaf_nodes = 37000,7.2368,7.171,7.2375,7.2572,7.1622,7.2198,7.2905,7.2225,7.245,7.262
max_leaf_nodes = 38000,7.251,7.2148,7.1938,7.285,7.2577,7.2079,7.3205,7.2634,7.2025,7.2658
max_leaf_nodes = 39000,7.2062,7.2744,7.1903,7.2539,7.2328,7.2614,7.244,7.1791,7.1901,7.2544
max_leaf_nodes = 40000,7.2601,7.2194,7.2322,7.261,7.2269,7.2973,7.2091,7.2598,7.2746,7.2571
max_leaf_nodes = 41000,7.2638,7.2491,7.2642,7.2072,7.1701,7.2717,7.3003,7.2617,7.2066,7.2161
max_leaf_nodes = 42000,7.2858,7.2896,7.2738,7.2804,7.2662,7.2787,7.2177,7.1964,7.2654,7.2247
max_leaf_nodes = 43000,7.2042,7.2735,7.2451,7.2426,7.1536,7.2242,7.2386,7.2209,7.2756,7.2806
max_leaf_nodes = 44000,7.2472,7.242,7.2752,7.253,7.2694,7.2845,7.2557,7.3112,7.263,7.2862
max_leaf_nodes = 45000,7.2476,7.3036,7.2263,7.2818,7.2306,7.2422,7.3185,7.2772,7.3237,7.2463
max_leaf_nodes = 46000,7.2205,7.2825,7.2145,7.2819,7.2365,7.206,7.237,7.2521,7.2415,7.3359
max_leaf_nodes = 47000,7.2636,7.259,7.2358,7.3083,7.2428,7.2563,7.2324,7.2702,7.2338,7.239
max_leaf_nodes = 48000,7.1821,7.2507,7.2882,7.2536,7.2827,7.2099,7.2977,7.2665,7.2685,7.2306
max_leaf_nodes = 49000,7.279,7.2588,7.2554,7.2095,7.2473,7.2519,7.2778,7.2749,7.2635,7.2371
